Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet C2.10,  152.65066465809667, 360.03184 d, 0.7947719448319788, Wrong Period,  78.43033061568299 d, 314.69504 d, Wrong t0 value, Transit not found
Planet C3.1,  157.5819044593678, 207.42066 d, 0.34983547817573424, Wrong Period,  0.2533000861864428 d, 106.88503 d, Wrong t0 value, Transit not found
Planet C3.2,  173.53391366333653, 359.63416 d, 1.3884679877893404, Wrong Period,  87.13066985573771 d, 179.55336 d, Wrong t0 value, Transit not found
Planet C3.3,  150.51310590636587, 358.44463 d, 1.3187856062284027, Wrong Period,  36.475567125001774 d, 135.71331 d, Wrong t0 value, Transit not found
Planet C3.4,  217.12658985800914, 360.43010 d, 1.3939340618412643, Wrong Period,  171.55764567212157 d, 268.95562 d, Wrong t0 value, Transit not found
Planet C3.5,  173.5745984995661, 358.18101 d, 1.3187856062284027, Wrong Period,  35.02193346222824 d, 135.86001 d, Wrong t0 value, Transit not found
Planet C3.6,  167.1790453313462, 360.43010 d, 1.1956799059398406, Wrong Period,  94.06133266704195 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C3.7,  199.36913481518144, 360.03184 d, 1.3918811373402775, Wrong Period,  130.086061829222 d, 314.69504 d, Wrong t0 value, Transit not found
Planet C3.8,  175.8154930724201, 360.16453 d, 0.8637571467139935, Wrong Period,  109.30963836626312 d, 358.99891 d, Wrong t0 value, Transit not found
Planet C3.9,  167.55288181011338, 360.03184 d, 0.7947719448319788, Wrong Period,  28.425868018702616 d, 314.69504 d, Wrong t0 value, Transit not found
Planet C3.10,  219.00751696948788, 207.42066 d, 0.34983547817573424, Wrong Period,  98.05798337699795 d, 106.92135 d, Wrong t0 value, Transit not found
Planet C4.1,  184.6435041481539, 360.43010 d, 1.3272294539247866, Wrong Period,  175.26318413151174 d, 268.95562 d, Wrong t0 value, Transit not found
Planet C4.2,  156.34594037846537, 360.16453 d, 0.7971181323171095, Wrong Period,  57.77294198032368 d, 358.99891 d, Wrong t0 value, Transit not found
Planet C4.3,  174.76191585559366, 174.76535 d, 0.20243078171048978, Correct Period,  130.86293869937313 d, 130.86625 d, Correct t0 value, Found Correct Transit
Planet C4.4,  187.85127007008256, 187.83032 d, 0.16714173465213378, Correct Period,  82.79343789721688 d, 82.76770 d, Correct t0 value, Found Correct Transit
Planet C4.5,  169.9322864260395, 360.43010 d, 1.128975298023363, Wrong Period,  44.25924459798888 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C4.6,  203.70795678630947, 360.43010 d, 1.1956799059398406, Wrong Period,  127.28353695875697 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C4.7,  183.29189701129624, 183.22703 d, 0.16176592258339895, Correct Period,  8.905546327020938 d, 8.99101 d, Correct t0 value, Found Correct Transit
Planet C4.8,  177.95022023054568, 358.18101 d, 1.3187856062284027, Wrong Period,  111.06462286014496 d, 135.86001 d, Wrong t0 value, Transit not found
Planet C4.9,  215.9287864405032, 207.42066 d, 0.34983547817573424, Wrong Period,  191.14818841967332 d, 106.92135 d, Wrong t0 value, Transit not found
Planet C4.10,  209.42079842761248, 360.43010 d, 1.3272294539247866, Wrong Period,  13.874487492629202 d, 268.95562 d, Wrong t0 value, Transit not found
Planet C5.1,  213.41129986018427, 213.38302 d, 0.23119595396453008, Correct Period,  97.42973295428828 d, 97.50705 d, Correct t0 value, Found Correct Transit
Planet C5.2,  179.95087835015866, 360.43010 d, 1.3272294539247866, Wrong Period,  117.09249238175244 d, 268.95562 d, Wrong t0 value, Transit not found
Planet C5.3,  198.20291679806408, 360.43010 d, 1.1956799059398406, Wrong Period,  175.35711556912202 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C5.4,  169.98706722610655, 360.43010 d, 1.1956799059398406, Wrong Period,  130.50250155972924 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C5.5,  164.6748584947105, 164.64790 d, 0.14021857760788237, Correct Period,  105.51045870815473 d, 105.47591 d, Correct t0 value, Found Correct Transit
Planet C5.6,  159.50953439324655, 159.47730 d, 0.15680405390291696, Correct Period,  98.45906990795123 d, 98.51173 d, Correct t0 value, Found Correct Transit
Planet C5.7,  154.0305271217049, 359.89921 d, 0.927234541296599, Wrong Period,  153.35680837361622 d, 314.01551 d, Wrong t0 value, Transit not found
Planet C5.8,  197.2550336537252, 358.18101 d, 1.3187856062284027, Wrong Period,  57.8491632302869 d, 135.86001 d, Wrong t0 value, Transit not found
Planet C5.9,  171.04405286138172, 360.43010 d, 1.128975298023363, Wrong Period,  151.4224316300963 d, 359.46733 d, Wrong t0 value, Transit not found
Planet C5.10,  186.0466376115608, 360.03184 d, 1.3272294539247866, Wrong Period,  160.51706587900162 d, 359.76113 d, Wrong t0 value, Transit not found
Planet C6.1,  211.38443415432025, 360.43010 d, 1.3272294539247866, Wrong Period,  147.70080271598604 d, 268.95562 d, Wrong t0 value, Transit not found
Planet C6.2,  186.9909976001856, 186.99709 d, 0.1384341967012972, Correct Period,  23.337274782528706 d, 23.45083 d, Correct t0 value, Found Correct Transit
Planet C6.3,  198.80085081791873, 198.76640 d, 0.18024142328843595, Correct Period,  18.089312614887113 d, 18.12542 d, Correct t0 value, Found Correct Transit
Planet C6.4,  216.39796613431656, 216.38273 d, 0.2018493899328604, Correct Period,  157.62795414994957 d, 157.65984 d, Correct t0 value, Found Correct Transit
Planet C6.5,  173.7895306578926, 173.80732 d, 0.15071438234048173, Correct Period,  6.853857931068931 d, 6.82947 d, Correct t0 value, Found Correct Transit
